str.capitalize, Return a copy of str capitalized # "string" => "String"
str.downcase, Return a lowercase copy of str # "STRING" => "string"
str.swapcase, Return a swapped case copy of str # "String" => "sTRING"
str.upcase, Return a uppercase copy of str # "string" => "STRING"
str.end_with?(str2), Returns true if str ends with str2
str.include?(str2), Return true if str includes str2
str.index(str2), Return index of first occurrence of str2 in str
str.rindex(str2), Return the index of the last occurrence of str2 in str
str.start_with?(str2), Return true if str starts with str2
str + str2, Return a new string adding str2 to str # "one" + "two" => "onetwo"
str << str2, Modify str in place by appending str2 to the end
str[index] = str2, Replace str at index with str2
str[start(comma)length] = str2, Replace str from start to length with str2
str[regexp] = str2, Replace str using regexp with str2
str.chomp, Return a new string with carriage return characters removed from str # "hello\r\n" => "hello"
str.chop, Return a new string with last character removed from str # "string" => "strin"
str.insert(index(comma) str2), Insert str2 before the character at the given index, modifying str
str.succ, Return successor to str (increment characters starting from rightmost alphachar in string) # "abcd" => "abce"
str.prepend(str2), Prepend str2 to str
str.reverse, Return a new string with the characters from str in reverse order # "abcd" => "dcba"
str * integer, Copy - return a new String containing integer copies of str.
str[start(comma)length], Element Reference - pass a start and a length, return a substring of length characters from start
str[regexp], Element Reference - pass a Regexp and return the matching portion of the str
str[range], Element Reference - pass a range using beginning and end as offsets delimiting the substr to be returned
str.chars, Return an array of characters in str
str.chr, Return a one-character string at the beginning of str
str.lines, Return an array of lines in str
str.split(str2), Return array of substrings by dividing str based on str2
str.center(width(comma) padstr), Center str in width padded with padstr
str.ljust(length(comma) str2), Return a new string of length with str left justified and padded with str2
str.lstrip, Return a copy of str with leading whitespace removed
str.lstrip!, Modify str with leading whitespace removed
str.rjust(length(comma) str2), Return a new string of length with str right justified and padded with str2
str.rstrip, Return a copy of str with trailing whitespace removed
str.rstrip!, Modify str by removing trailing whitespace
str.strip, Return a copy of str with leading and trailing whitespace removed
str.strip!, Modify str by removing leading and trailing whitespace
str <=> str2, Compare - return -1, 0, +1 or nil depending on str is less than(comma) eq to(comma) or greater than str2
str == obj, Equality - return whether string is equal to obj
str =~ obj, Match - if obj is a Regexp, use it as a pattern to match against str(comma) and return the position.
str.eql?(str2), Return true if str is equal to str2 by length and content
str.hash, Return a hash based on str's length(comma) content(comma) and encoding
str.hex, Return number of str as hexadecimal digits
str.oct, Return octal number of str
str.to_c, Convert str to complex number
str.to_f, Convert str to float
str.to_i, Convert str to integer
str.to_r, Convert str to rational number
str.to_sym, Convert str to symbol
str.gsub(regexp(comma) str2), Return a copy of str with all occurrences of regexp substituted with str2
str.gsub(regexp(comma) other_hash), Return a copy of str with all occurrences of regexp substituted with values of matched keys in other_hash
str.gsub(str1(comma) str2), Return a copy of str with all occurrences of str1 replaced with str2
str.gsub!(str1(comma) str2), Modify str by replacing all occurrences of str1 with str2
str.index(regexp), Return index of first occurrence of regexp in str
str.match(pattern), Convert pattern to regexp and invoke its match method on str
str.partition(str2), Search str2 in str and return part before it, the match, and part after in an array
str.partition(regexp), Search regexp in str and return part before it, the match, and the part after it in an array
str.sub(regexp(comma) str2), Return copy of str with first occurrence of regexp replaced by str2
str.capitalize!, Modify str by converting the first character to uppercase and the remainder to lowercase
str.casecmp(str2), Case-insensitive compare of str with str2
str.downcase!, Modify str by replacing all uppercase letters with lowercase letters
str.swapcase!, Modify str by swapping case of all characters
str.upcase!, Modify string by replacing lowercase characters with uppercase characters
str.replace(str2), Replace the contents and taintedness of str with str2
str.rpartition(str2), Search str2 in str from end of str and return part before it(comma) the match, and part after in an array
str.scan(regexp), Return an array of strings matching regexp of str
str.sub!(regexp(comma) str2), Modify str by replacing first occurrence of regexp with str2
str.tr(from_str(comma) to_str), Return copy of str with characters in from_str replaced by characters in to_str
str.tr!(from_str(comma) to_str), Translate str in place by replacing from_str with to_str
str.tr_s(from_str(comma) to_str), Translate str replacing from_str with to_str then remove duplicate characters in translated regions
str[index], Element Reference - pass a single index, and return a substring of one character at that index
str.ascii_only?, Return true for a str which has only ASCII characters
str.count(str2), Count of str2 characters in str
str.empty?, Return true if str has a length of zero
str.encoding, Return the encoding of str
str.inspect, Return a printable version of str(comma) surrounded by quote marks(comma) with special characters escaped
str.length, Return character length of str (option 1)
str.size, Return the character length of str (option 2)
str.sum, Return a basic checksum of the characters in str
str.valid_encoding?, Returns true if str is encoded correctly
str.each_byte, Pass each byte in str to a block
str.each_char, Pass each character in str to a block
str.each_codepoint, Pass Integer ordinal of each character in str to a block
str.each_line, Pass each line of string to a block
str.upto(str2), Iterate through successive values of str(comma) starting at str and ending at str2 inclusive
str % arg, Format - use str as a format specification, and return the result of applying it to arg
str.chomp!, Modify str in place by removing carriage return characters from end of str
